Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Tokelau,TKL,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Tonga,TON,Polynesia,105,n/a,471.58,n/a,n/a,0.71
Trinidad and Tobago,TTO,Caribbean,1341,"38,317.23","23,320.26","28,743.34","17,659.68",0.76
Tunisia,TUN,Northern Africa,10997,"109,315.69","45,662.04","10,318.59","4,340.21",0.712
Turkey,TUR,Western Asia,74933,"1,314,896.51","789,257.49","17,780.89","10,434.94",0.722
Turkmenistan,TKM,Central Asia,5240,n/a,"35,164.21",n/a,n/a,0.698
Turks and Caicos Islands,TCA,Caribbean,n/a,662.39,n/a,"20,878.38","22,971.37",n/a
Tuvalu,TUV,Polynesia,10,n/a,39.88,n/a,n/a,n/a
Uganda,UGA,Eastern Africa,37579,"55,119.17","20,032.24","1,597.23",527.74,0.456
Ukraine,UKR,Eastern Europe,45239,"379,139.83","176,308.83","8,295.17","3,575.49",0.74
United Arab Emirates,ARE,Western Asia,9346,"503,168.07","383,799.19","60,886.23","42,181.99",0.818
United Kingdom,GBR,Northern Europe,63136,"2,201,439.29","2,475,781.99","35,091.09","39,241.28",0.875
United States of America,USA,Northern America,320051,"15,533,800.00","16,244,600.00","49,782.08","49,782.08",0.937
Uruguay,URY,South America,3407,"58,687.88","49,919.73","17,342.96","13,722.00",0.792
Uzbekistan,UZB,Central Asia,28934,n/a,"51,112.75",n/a,n/a,0.654
Vanuatu,VUT,Melanesia,253,n/a,787.07,n/a,n/a,0.626
Venezuela (Bolivarian Republic of),VEN,South America,30405,"500,326.03","381,286.24","16,964.81","10,731.12",0.748
Viet Nam,VNM,South-Eastern Asia,91680,"414,339.08","155,820.00","4,716.97","1,543.03",0.617
Virgin Islands (United States),TCA,Caribbean,n/a,851.25,n/a,"30,290.40","32,579.88",n/a
Wallis and Futuna Islands,WLF,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Western Sahara,ESH,Northern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Yemen,YEM,Western Asia,24407,"88,565.78","35,737.15","3,716.10","1,317.81",0.458
Zambia,ZMB,Eastern Africa,14539,"42,509.94","20,590.28","3,154.74","1,543.65",0.448
Zimbabwe,ZWE,Eastern Africa,14150,"17,575.27","9,802.36","1,377.98",695.09,0.397
